 Esperanto; Interlingua; Interlingua; English;
Preferred form;Alternative form;Preferred Form; English;Alternative form
 '''san'''a; '''san'''a; '''san'''; '''san''';healthy
 '''san'''o; '''san'''o; '''san'''itate; '''san'''itate;health
mal'''san'''a;morba;malade ;mal'''san''';sick, unhealthy
mal'''san'''o;morbo;maladia, morbo;mal'''san'''itate;malady, illness, disease
mal'''san'''ulejo;hospitalo;hospital ;mal'''san'''itario;hospital
'''san'''iĝi;reakiri;recovrar ;'''san'''ar;to become healthy, recover
'''san'''igi;kuraci;curar;'''san'''ar;to make healthy, cure
 mal'''san'''iĝi ; mal'''san'''iĝi ;cader malade;mal'''san'''ar;to become sick, fall ill
